anio,detalle_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2018,COMPRA DE OTROS BIENES,1798313.0,2972632.0,2880794.71,2875554.26,2875554.26,2734618.82,96.73,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,CONTRATO ADMINISTRATIVO DE SERVICIOS,221934107.0,223891882.0,221666559.7,221665744.02,221636547.24,221319012.3,98.99,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,EDIFICIOS O UNIDADES NO RESIDENCIALES,1472216.0,1949464.0,1883204.28,1883204.28,1883204.28,1883204.28,96.6,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,ENSERES,355230.0,845586.0,787919.58,785676.04,785676.04,735407.64,92.91,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,ENTREGA DE BIENES Y SERVICIOS,40083296.0,22847065.0,22832831.85,22423296.62,22156554.39,22060121.99,96.98,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,GASTOS VARIABLES Y OCASIONALES,6747555.0,7174363.0,7047876.01,7047816.4,7033856.04,7032300.47,98.04,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,INVERSIONES INTANGIBLES,31340.0,68140.0,66290.0,66290.0,66290.0,66290.0,97.29,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,MATERIALES Y  UTILES,8523780.0,8454416.0,8130581.68,8052125.51,8052125.51,8004320.56,95.24,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,MATERIALES Y UTILES DE ENSEÑANZA,1317375.0,1667174.0,1239950.9,1207337.8,1207337.8,1170858.68,72.42,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,OBLIGACIONES DEL EMPLEADOR,2367870.0,2111151.0,2043835.44,2043746.47,1990106.89,1990106.89,94.27,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
