anio,departamento_meta,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2021,PASCO,3427058.0,2652032.0,2602086.12,2601671.08,2601671.08,2598746.86,98.1,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,PIURA,8670500.0,9996007.0,9833549.4,9823278.42,9823278.42,9808155.34,98.27,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,PROVINCIA CONSTITUCIONAL DEL CALLAO,16558533.0,18277978.0,18041029.15,17949930.27,17949894.27,17943780.59,98.21,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,PUNO,12721870.0,15307966.0,15118913.13,15106924.22,15106924.22,15088906.29,98.69,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,SAN MARTIN,5443533.0,5306444.0,5217874.82,5216867.29,5216867.29,5205960.14,98.31,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,TACNA,6748633.0,8552442.0,8408158.75,8387100.17,8387100.17,8382450.5,98.07,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,TUMBES,3361421.0,5713208.0,5582553.11,5567733.78,5567733.78,5565749.51,97.45,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,UCAYALI,2479161.0,4534243.0,4275474.43,4257784.85,4257323.14,4253297.51,93.89,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2022,AMAZONAS,5905356.0,4901089.0,4840355.01,4829015.81,4825015.81,4817231.04,98.45,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,ANCASH,26693198.0,14057791.0,13852112.05,13813601.3,13813601.3,13798202.81,98.26,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
